
No compatibility mode selected!


Circuit: arithmatic_logic_unit 4 bit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
v                                          1.8
s0                                         1.8
s1                                         1.8
a3                                         1.8
a2                                         1.8
a1                                         1.8
a0                                         1.8
b3                                         1.8
b2                                         1.8
b1                                         1.8
b0                                         1.8
x_dec.sn0                          7.42811e-09
x_dec.sn1                          7.42811e-09
x_dec.x3.x                         2.97124e-08
x_dec.x3.y                         1.48562e-08
d3                                         1.8
x_dec.x4.x                                 1.8
x_dec.x4.y                             1.40894
d2                                 7.42811e-09
x_dec.x5.x                                 1.8
x_dec.x5.y                         5.14626e-09
d1                                 7.42811e-09
x_dec.x6.x                                 1.8
x_dec.x6.y                            0.026443
d0                                 7.42811e-09
x_r2.y                                     1.8
x_r2.x                                     1.8
das                                7.42812e-09
x_en1.x7.x                                 1.8
x_en1.x7.y                         5.14626e-09
asa3                               3.75729e-08
x_en1.x8.x                                 1.8
x_en1.x8.y                         5.14626e-09
asa2                               3.75729e-08
x_en1.x9.x                                 1.8
x_en1.x9.y                         5.14626e-09
asa1                               3.75729e-08
x_en1.x10.x                                1.8
x_en1.x10.y                        5.14626e-09
asa0                               3.75729e-08
x_en1.x11.x                                1.8
x_en1.x11.y                        5.14626e-09
asb3                               2.25005e-08
x_en1.x12.x                                1.8
x_en1.x12.y                        5.14626e-09
asb2                               2.25005e-08
x_en1.x13.x                                1.8
x_en1.x13.y                        5.14626e-09
asb1                               2.25005e-08
x_en1.x14.x                                1.8
x_en1.x14.y                        5.14626e-09
asb0                               2.25005e-08
x_as.x20.a1                                1.8
x_as.x20.b1                                1.8
x_as.m0                            3.63239e-08
x_as.x21.a1                                1.8
x_as.x21.b1                                1.8
x_as.m1                            3.63239e-08
x_as.x22.a1                                1.8
x_as.x22.b1                                1.8
x_as.m2                            3.63239e-08
x_as.x23.a1                                1.8
x_as.x23.b1                                1.8
x_as.m3                            3.63239e-08
x_as.xfa0.x15.a1                           1.8
x_as.xfa0.x15.b1                           1.8
x_as.xfa0.s1                       6.64687e-08
x_as.xfa0.x16.a1                           1.8
x_as.xfa0.x16.b1                           1.8
out_as0                            8.02921e-08
x_as.xfa0.x17.x                            1.8
x_as.xfa0.x17.y                       0.026443
x_as.xfa0.c2                       7.42811e-09
x_as.xfa0.x18.x                            1.8
x_as.xfa0.x18.y                      0.0264431
x_as.xfa0.c1                       7.42811e-09
x_as.xfa0.x19.y                            1.8
x_as.xfa0.x19.x                            1.8
x_as.c0                            7.42812e-09
x_as.xfa1.x15.a1                           1.8
x_as.xfa1.x15.b1                           1.8
x_as.xfa1.s1                       6.64687e-08
x_as.xfa1.x16.a1                           1.8
x_as.xfa1.x16.b1                           1.8
out_as1                            8.02921e-08
x_as.xfa1.x17.x                            1.8
