VCD info: dumpfile ALU_out.vcd opened for output.
at T=   0:A = xxxx, B = xxxx,S1 = x,S0 = x, Add_Sub = xxxxx, is A>B:x, is A=B:x, is A<B:x, AND = xxxx
at T=   2:A = 0000, B = 0000,S1 = 0,S0 = 0, Add_Sub = 00000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=   4:A = 0000, B = 0001,S1 = 0,S0 = 0, Add_Sub = 00001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=   6:A = 0000, B = 0010,S1 = 0,S0 = 0, Add_Sub = 00010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=   8:A = 0000, B = 0011,S1 = 0,S0 = 0, Add_Sub = 00011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  10:A = 0000, B = 0100,S1 = 0,S0 = 0, Add_Sub = 00100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  12:A = 0000, B = 0101,S1 = 0,S0 = 0, Add_Sub = 00101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  14:A = 0000, B = 0110,S1 = 0,S0 = 0, Add_Sub = 00110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  16:A = 0000, B = 0111,S1 = 0,S0 = 0, Add_Sub = 00111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  18:A = 0000, B = 1000,S1 = 0,S0 = 0, Add_Sub = 01000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  20:A = 0000, B = 1001,S1 = 0,S0 = 0, Add_Sub = 01001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  22:A = 0000, B = 1010,S1 = 0,S0 = 0, Add_Sub = 01010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  24:A = 0000, B = 1011,S1 = 0,S0 = 0, Add_Sub = 01011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  26:A = 0000, B = 1100,S1 = 0,S0 = 0, Add_Sub = 01100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  28:A = 0000, B = 1101,S1 = 0,S0 = 0, Add_Sub = 01101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  30:A = 0000, B = 1110,S1 = 0,S0 = 0, Add_Sub = 01110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  32:A = 0000, B = 1111,S1 = 0,S0 = 0, Add_Sub = 01111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  34:A = 0001, B = 0000,S1 = 0,S0 = 0, Add_Sub = 00001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
